"","y.first","z.first","pts","days","psi","p","phi","g","yrs","nsim","NA"
"40",0,0,"input values 10"," 60"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 10, 60, 0.5, 0.5, 0.99, 0, 15, 500"
"41",0,1,"input values 120"," 15"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 120, 15, 0.5, 0.08, 0.85, 0, 15, 500"
"42",0,1,"input values 120"," 15"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 120, 15, 0.5, 0.08, 0.9, 0, 15, 500"
"43",0,1,"input values 120"," 15"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 120, 15, 0.5, 0.08, 0.95, 0, 15, 500"
"44",0,1,"input values 120"," 15"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 120, 15, 0.5, 0.08, 0.99, 0, 15, 500"
"45",0,1,"input values 120"," 15"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 120, 15, 0.5, 0.2, 0.9, 0, 15, 500"
"46",0,1,"input values 120"," 15"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 120, 15, 0.5, 0.2, 0.95, 0, 15, 500"
"47",0,1,"input values 120"," 15"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 120, 15, 0.5, 0.2, 0.99, 0, 15, 500"
"48",0,1,"input values 120"," 15"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 120, 15, 0.5, 0.5, 0.9, 0, 15, 500"
"49",0,1,"input values 120"," 15"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 120, 15, 0.5, 0.5, 0.95, 0, 15, 500"
"50",0,4,"input values 120"," 15"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 120, 15, 0.5, 0.5, 0.99, 0, 15, 500"
"51",0,1,"input values 120"," 30"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 120, 30, 0.5, 0.08, 0.85, 0, 15, 500"
"52",0,0,"input values 120"," 30"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 120, 30, 0.5, 0.08, 0.9, 0, 15, 500"
"53",0,0,"input values 120"," 30"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 120, 30, 0.5, 0.08, 0.95, 0, 15, 500"
"54",0,0,"input values 120"," 30"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 120, 30, 0.5, 0.08, 0.99, 0, 15, 500"
"55",0,1,"input values 120"," 30"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 120, 30, 0.5, 0.2, 0.9, 0, 15, 500"
"56",0,1,"input values 120"," 30"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 120, 30, 0.5, 0.2, 0.95, 0, 15, 500"
"57",0,5,"input values 120"," 30"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 120, 30, 0.5, 0.2, 0.99, 0, 15, 500"
"58",0,1,"input values 120"," 30"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 120, 30, 0.5, 0.5, 0.9, 0, 15, 500"
"59",0,1,"input values 120"," 30"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 120, 30, 0.5, 0.5, 0.95, 0, 15, 500"
"60",0,4,"input values 120"," 30"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 120, 30, 0.5, 0.5, 0.99, 0, 15, 500"
"61",0,1,"input values 120"," 45"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 120, 45, 0.5, 0.08, 0.85, 0, 15, 500"
"62",0,1,"input values 120"," 45"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 120, 45, 0.5, 0.08, 0.9, 0, 15, 500"
"63",0,1,"input values 120"," 45"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 120, 45, 0.5, 0.08, 0.95, 0, 15, 500"
"64",0,0,"input values 120"," 45"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 120, 45, 0.5, 0.08, 0.99, 0, 15, 500"
"65",0,1,"input values 120"," 45"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 120, 45, 0.5, 0.2, 0.9, 0, 15, 500"
"66",0,1,"input values 120"," 45"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 120, 45, 0.5, 0.2, 0.95, 0, 15, 500"
"67",0,4,"input values 120"," 45"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 120, 45, 0.5, 0.2, 0.99, 0, 15, 500"
"68",0,1,"input values 120"," 45"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 120, 45, 0.5, 0.5, 0.9, 0, 15, 500"
"69",0,1,"input values 120"," 45"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 120, 45, 0.5, 0.5, 0.95, 0, 15, 500"
"70",0,4,"input values 120"," 45"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 120, 45, 0.5, 0.5, 0.99, 0, 15, 500"
"71",0,1,"input values 120"," 60"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 120, 60, 0.5, 0.08, 0.9, 0, 15, 500"
"72",0,0,"input values 120"," 60"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 120, 60, 0.5, 0.08, 0.95, 0, 15, 500"
"73",0,0,"input values 120"," 60"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 120, 60, 0.5, 0.08, 0.99, 0, 15, 500"
"74",0,1,"input values 120"," 60"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 120, 60, 0.5, 0.2, 0.9, 0, 15, 500"
"75",0,1,"input values 120"," 60"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 120, 60, 0.5, 0.2, 0.95, 0, 15, 500"
"76",0,6,"input values 120"," 60"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 120, 60, 0.5, 0.2, 0.99, 0, 15, 500"
"77",0,1,"input values 120"," 60"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 120, 60, 0.5, 0.5, 0.9, 0, 15, 500"
"78",0,1,"input values 120"," 60"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 120, 60, 0.5, 0.5, 0.95, 0, 15, 500"
"79",0,5,"input values 120"," 60"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 120, 60, 0.5, 0.5, 0.99, 0, 15, 500"
"80",12,1,"input values 20"," 15"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 20, 15, 0.5, 0.08, 0.85, 0, 15, 500"
"81",12,1,"input values 20"," 15"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 20, 15, 0.5, 0.08, 0.9, 0, 15, 500"
"82",12,1,"input values 20"," 15"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 20, 15, 0.5, 0.08, 0.95, 0, 15, 500"
"83",13,1,"input values 20"," 15"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 20, 15, 0.5, 0.08, 0.99, 0, 15, 500"
"84",12,2,"input values 20"," 15"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 20, 15, 0.5, 0.2, 0.9, 0, 15, 500"
"85",0,3,"input values 20"," 15"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 20, 15, 0.5, 0.2, 0.95, 0, 15, 500"
"86",0,6,"input values 20"," 15"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 20, 15, 0.5, 0.2, 0.99, 0, 15, 500"
"87",14,3,"input values 20"," 15"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 20, 15, 0.5, 0.5, 0.9, 0, 15, 500"
"88",0,5,"input values 20"," 15"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 20, 15, 0.5, 0.5, 0.95, 0, 15, 500"
"89",0,0,"input values 20"," 15"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 20, 15, 0.5, 0.5, 0.99, 0, 15, 500"
"90",12,2,"input values 20"," 30"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 20, 30, 0.5, 0.08, 0.85, 0, 15, 500"
"91",14,0,"input values 20"," 30"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 20, 30, 0.5, 0.08, 0.9, 0, 15, 500"
"92",0,0,"input values 20"," 30"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 20, 30, 0.5, 0.08, 0.95, 0, 15, 500"
"93",0,0,"input values 20"," 30"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 20, 30, 0.5, 0.08, 0.99, 0, 15, 500"
"94",14,3,"input values 20"," 30"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 20, 30, 0.5, 0.2, 0.9, 0, 15, 500"
"95",0,6,"input values 20"," 30"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 20, 30, 0.5, 0.2, 0.95, 0, 15, 500"
"96",0,0,"input values 20"," 30"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 20, 30, 0.5, 0.2, 0.99, 0, 15, 500"
"97",14,3,"input values 20"," 30"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 20, 30, 0.5, 0.5, 0.9, 0, 15, 500"
"98",0,6,"input values 20"," 30"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 20, 30, 0.5, 0.5, 0.95, 0, 15, 500"
"99",0,0,"input values 20"," 30"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 20, 30, 0.5, 0.5, 0.99, 0, 15, 500"
"100",12,4,"input values 20"," 45"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 20, 45, 0.5, 0.08, 0.85, 0, 15, 500"
"101",12,4,"input values 20"," 45"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 20, 45, 0.5, 0.08, 0.9, 0, 15, 500"
"102",0,0,"input values 20"," 45"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 20, 45, 0.5, 0.08, 0.95, 0, 15, 500"
"103",0,0,"input values 20"," 45"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 20, 45, 0.5, 0.08, 0.99, 0, 15, 500"
"104",14,3,"input values 20"," 45"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 20, 45, 0.5, 0.2, 0.9, 0, 15, 500"
"105",0,5,"input values 20"," 45"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 20, 45, 0.5, 0.2, 0.95, 0, 15, 500"
"106",0,0,"input values 20"," 45"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 20, 45, 0.5, 0.2, 0.99, 0, 15, 500"
"107",14,3,"input values 20"," 45"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 20, 45, 0.5, 0.5, 0.9, 0, 15, 500"
"108",0,5,"input values 20"," 45"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 20, 45, 0.5, 0.5, 0.95, 0, 15, 500"
"109",0,0,"input values 20"," 45"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 20, 45, 0.5, 0.5, 0.99, 0, 15, 500"
"110",12,2,"input values 20"," 60"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 20, 60, 0.5, 0.08, 0.85, 0, 15, 500"
"111",14,4,"input values 20"," 60"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 20, 60, 0.5, 0.08, 0.9, 0, 15, 500"
"112",0,0,"input values 20"," 60"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 20, 60, 0.5, 0.08, 0.95, 0, 15, 500"
"113",0,0,"input values 20"," 60"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 20, 60, 0.5, 0.08, 0.99, 0, 15, 500"
"114",14,3,"input values 20"," 60"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 20, 60, 0.5, 0.2, 0.9, 0, 15, 500"
"115",0,5,"input values 20"," 60"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 20, 60, 0.5, 0.2, 0.95, 0, 15, 500"
"116",0,0,"input values 20"," 60"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 20, 60, 0.5, 0.2, 0.99, 0, 15, 500"
"117",14,3,"input values 20"," 60"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 20, 60, 0.5, 0.5, 0.9, 0, 15, 500"
"118",0,5,"input values 20"," 60"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 20, 60, 0.5, 0.5, 0.95, 0, 15, 500"
"119",0,0,"input values 20"," 60"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 20, 60, 0.5, 0.5, 0.99, 0, 15, 500"
"120",13,1,"input values 30"," 15"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 30, 15, 0.5, 0.08, 0.85, 0, 15, 500"
"121",13,1,"input values 30"," 15"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 30, 15, 0.5, 0.08, 0.9, 0, 15, 500"
"122",13,1,"input values 30"," 15"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 30, 15, 0.5, 0.08, 0.95, 0, 15, 500"
"123",13,1,"input values 30"," 15"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 30, 15, 0.5, 0.08, 0.99, 0, 15, 500"
"124",13,2,"input values 30"," 15"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 30, 15, 0.5, 0.2, 0.9, 0, 15, 500"
"125",0,2,"input values 30"," 15"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 30, 15, 0.5, 0.2, 0.95, 0, 15, 500"
"126",0,4,"input values 30"," 15"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 30, 15, 0.5, 0.2, 0.99, 0, 15, 500"
"127",14,2,"input values 30"," 15"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 30, 15, 0.5, 0.5, 0.9, 0, 15, 500"
"128",0,4,"input values 30"," 15"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 30, 15, 0.5, 0.5, 0.95, 0, 15, 500"
"129",0,0,"input values 30"," 15"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 30, 15, 0.5, 0.5, 0.99, 0, 15, 500"
"130",12,0,"input values 30"," 30"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 30, 30, 0.5, 0.08, 0.85, 0, 15, 500"
"131",13,0,"input values 30"," 30"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 30, 30, 0.5, 0.08, 0.9, 0, 15, 500"
"132",14,0,"input values 30"," 30"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 30, 30, 0.5, 0.08, 0.95, 0, 15, 500"
"133",0,0,"input values 30"," 30"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 30, 30, 0.5, 0.08, 0.99, 0, 15, 500"
"134",14,2,"input values 30"," 30"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 30, 30, 0.5, 0.2, 0.9, 0, 15, 500"
"135",0,4,"input values 30"," 30"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 30, 30, 0.5, 0.2, 0.95, 0, 15, 500"
"136",0,0,"input values 30"," 30"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 30, 30, 0.5, 0.2, 0.99, 0, 15, 500"
"137",14,2,"input values 30"," 30"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 30, 30, 0.5, 0.5, 0.9, 0, 15, 500"
"138",0,4,"input values 30"," 30"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 30, 30, 0.5, 0.5, 0.95, 0, 15, 500"
"139",0,0,"input values 30"," 30"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 30, 30, 0.5, 0.5, 0.99, 0, 15, 500"
"140",12,2,"input values 30"," 45"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 30, 45, 0.5, 0.08, 0.85, 0, 15, 500"
"141",14,0,"input values 30"," 45"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 30, 45, 0.5, 0.08, 0.9, 0, 15, 500"
