"","y.first","z.first","pts","days","psi","p","phi","g","yrs","nsim"
"1",0,2,10,15,0.7,0.08,0.99,0,12,500
"2",0,1,20,15,0.7,0.08,0.99,0,12,500
"3",0,1,30,15,0.7,0.08,0.99,0,12,500
"4",0,1,60,15,0.7,0.08,0.99,0,12,500
"5",0,1,90,15,0.7,0.08,0.99,0,12,500
"6",0,1,120,15,0.7,0.08,0.99,0,12,500
"7",0,4,10,30,0.7,0.08,0.99,0,12,500
"8",0,2,20,30,0.7,0.08,0.99,0,12,500
"9",0,2,30,30,0.7,0.08,0.99,0,12,500
"10",0,1,60,30,0.7,0.08,0.99,0,12,500
"11",0,1,90,30,0.7,0.08,0.99,0,12,500
"12",0,1,120,30,0.7,0.08,0.99,0,12,500
"13",0,11,10,45,0.7,0.08,0.99,0,12,500
"14",0,6,20,45,0.7,0.08,0.99,0,12,500
"15",0,4,30,45,0.7,0.08,0.99,0,12,500
"16",0,2,60,45,0.7,0.08,0.99,0,12,500
"17",0,2,90,45,0.7,0.08,0.99,0,12,500
"18",0,1,120,45,0.7,0.08,0.99,0,12,500
"19",0,0,10,60,0.7,0.08,0.99,0,12,500
"20",0,11,20,60,0.7,0.08,0.99,0,12,500
"21",0,7,30,60,0.7,0.08,0.99,0,12,500
"22",0,4,60,60,0.7,0.08,0.99,0,12,500
"23",0,3,90,60,0.7,0.08,0.99,0,12,500
"24",0,2,120,60,0.7,0.08,0.99,0,12,500
"25",0,8,10,15,0.7,0.2,0.99,0,12,500
"26",0,4,20,15,0.7,0.2,0.99,0,12,500
"27",0,3,30,15,0.7,0.2,0.99,0,12,500
"28",0,2,60,15,0.7,0.2,0.99,0,12,500
"29",0,1,90,15,0.7,0.2,0.99,0,12,500
"30",0,1,120,15,0.7,0.2,0.99,0,12,500
"31",0,0,10,30,0.7,0.2,0.99,0,12,500
"32",0,0,20,30,0.7,0.2,0.99,0,12,500
"33",0,10,30,30,0.7,0.2,0.99,0,12,500
"34",0,6,60,30,0.7,0.2,0.99,0,12,500
"35",0,4,90,30,0.7,0.2,0.99,0,12,500
"36",0,3,120,30,0.7,0.2,0.99,0,12,500
"37",0,0,10,45,0.7,0.2,0.99,0,12,500
"38",0,0,20,45,0.7,0.2,0.99,0,12,500
"39",0,11,30,45,0.7,0.2,0.99,0,12,500
"40",0,6,60,45,0.7,0.2,0.99,0,12,500
"41",0,4,90,45,0.7,0.2,0.99,0,12,500
"42",0,3,120,45,0.7,0.2,0.99,0,12,500
"43",0,0,10,60,0.7,0.2,0.99,0,12,500
"44",0,0,20,60,0.7,0.2,0.99,0,12,500
"45",0,11,30,60,0.7,0.2,0.99,0,12,500
"46",0,5,60,60,0.7,0.2,0.99,0,12,500
"47",0,4,90,60,0.7,0.2,0.99,0,12,500
"48",0,3,120,60,0.7,0.2,0.99,0,12,500
"49",0,0,10,15,0.7,0.5,0.99,0,12,500
"50",0,0,20,15,0.7,0.5,0.99,0,12,500
"51",0,0,30,15,0.7,0.5,0.99,0,12,500
"52",0,6,60,15,0.7,0.5,0.99,0,12,500
"53",0,4,90,15,0.7,0.5,0.99,0,12,500
"54",0,3,120,15,0.7,0.5,0.99,0,12,500
"55",0,0,10,30,0.7,0.5,0.99,0,12,500
"56",0,0,20,30,0.7,0.5,0.99,0,12,500
"57",0,11,30,30,0.7,0.5,0.99,0,12,500
"58",0,6,60,30,0.7,0.5,0.99,0,12,500
"59",0,4,90,30,0.7,0.5,0.99,0,12,500
"60",0,3,120,30,0.7,0.5,0.99,0,12,500
"61",0,0,10,45,0.7,0.5,0.99,0,12,500
"62",0,0,20,45,0.7,0.5,0.99,0,12,500
"63",0,11,30,45,0.7,0.5,0.99,0,12,500
"64",0,6,60,45,0.7,0.5,0.99,0,12,500
"65",0,4,90,45,0.7,0.5,0.99,0,12,500
"66",0,3,120,45,0.7,0.5,0.99,0,12,500
"67",0,0,10,60,0.7,0.5,0.99,0,12,500
"68",0,0,20,60,0.7,0.5,0.99,0,12,500
"69",0,11,30,60,0.7,0.5,0.99,0,12,500
"70",0,5,60,60,0.7,0.5,0.99,0,12,500
"71",0,4,90,60,0.7,0.5,0.99,0,12,500
"72",0,3,120,60,0.7,0.5,0.99,0,12,500
"73",7,2,10,15,0.7,0.08,0.95,0,12,500
"74",10,1,20,15,0.7,0.08,0.95,0,12,500
"75",9,1,30,15,0.7,0.08,0.95,0,12,500
"76",0,1,60,15,0.7,0.08,0.95,0,12,500
"77",0,1,90,15,0.7,0.08,0.95,0,12,500
"78",0,1,120,15,0.7,0.08,0.95,0,12,500
"79",10,3,10,30,0.7,0.08,0.95,0,12,500
"80",10,2,20,30,0.7,0.08,0.95,0,12,500
"81",10,1,30,30,0.7,0.08,0.95,0,12,500
