"","value","L1"
"291",7,"y.first"
"292",8,"y.first"
"293",8,"y.first"
"294",9,"y.first"
"295",9,"y.first"
"296",9,"y.first"
"297",9,"y.first"
"298",9,"y.first"
"299",9,"y.first"
"300",9,"y.first"
"301",9,"y.first"
"302",10,"y.first"
"303",10,"y.first"
"304",11,"y.first"
"305",11,"y.first"
"306",11,"y.first"
"307",11,"y.first"
"308",0,"y.first"
"309",0,"y.first"
"310",0,"y.first"
"311",10,"y.first"
"312",0,"y.first"
"313",0,"y.first"
"314",0,"y.first"
"315",0,"y.first"
"316",0,"y.first"
"317",0,"y.first"
"318",0,"y.first"
"319",0,"y.first"
"320",0,"y.first"
"321",0,"y.first"
"322",0,"y.first"
"323",0,"y.first"
"324",0,"y.first"
"325",0,"y.first"
"326",0,"y.first"
"327",0,"y.first"
"328",0,"y.first"
"329",0,"y.first"
"330",0,"y.first"
"331",0,"y.first"
"332",0,"y.first"
"333",0,"y.first"
"334",0,"y.first"
"335",0,"y.first"
"336",0,"y.first"
"337",0,"y.first"
"338",0,"y.first"
"339",0,"y.first"
"340",0,"y.first"
"341",0,"y.first"
"342",0,"y.first"
"343",0,"y.first"
"344",0,"y.first"
"345",0,"y.first"
"346",0,"y.first"
"347",0,"y.first"
"348",0,"y.first"
"349",0,"y.first"
"350",0,"y.first"
"351",0,"y.first"
"352",0,"y.first"
"353",0,"y.first"
"354",0,"y.first"
"355",0,"y.first"
"356",0,"y.first"
"357",0,"y.first"
"358",0,"y.first"
"359",0,"y.first"
"360",0,"y.first"
"361",9,"y.first"
"362",9,"y.first"
"363",10,"y.first"
"364",10,"y.first"
"365",10,"y.first"
"366",11,"y.first"
"367",11,"y.first"
"368",11,"y.first"
"369",11,"y.first"
"370",11,"y.first"
"371",10,"y.first"
"372",0,"y.first"
"373",0,"y.first"
"374",0,"y.first"
"375",0,"y.first"
"376",0,"y.first"
"377",0,"y.first"
"378",0,"y.first"
"379",0,"y.first"
"380",0,"y.first"
"381",10,"y.first"
"382",0,"y.first"
"383",0,"y.first"
"384",0,"y.first"
"385",0,"y.first"
"386",0,"y.first"
"387",0,"y.first"
"388",0,"y.first"
"389",0,"y.first"
"390",0,"y.first"
"391",11,"y.first"
"392",0,"y.first"
"393",0,"y.first"
"394",0,"y.first"
"395",0,"y.first"
"396",0,"y.first"
"397",0,"y.first"
"398",0,"y.first"
"399",0,"y.first"
"400",0,"y.first"
"401",0,"y.first"
"402",0,"y.first"
"403",0,"y.first"
"404",0,"y.first"
"405",0,"y.first"
"406",0,"y.first"
"407",0,"y.first"
"408",0,"y.first"
"409",0,"y.first"
"410",0,"y.first"
"411",0,"y.first"
"412",0,"y.first"
"413",0,"y.first"
"414",0,"y.first"
"415",0,"y.first"
"416",0,"y.first"
"417",0,"y.first"
"418",0,"y.first"
"419",0,"y.first"
"420",0,"y.first"
"421",0,"y.first"
"422",0,"y.first"
"423",0,"y.first"
"424",0,"y.first"
"425",0,"y.first"
"426",0,"y.first"
"427",0,"y.first"
"428",0,"y.first"
"429",0,"y.first"
"430",0,"y.first"
"431",0,"y.first"
"432",0,"y.first"
"433",0,"y.first"
"434",0,"y.first"
"435",0,"y.first"
"436",0,"y.first"
"437",0,"y.first"
"438",0,"y.first"
"439",0,"y.first"
"440",0,"y.first"
"441",10,"y.first"
"442",0,"y.first"
"443",0,"y.first"
"444",0,"y.first"
"445",0,"y.first"
"446",0,"y.first"
"447",0,"y.first"
"448",0,"y.first"
"449",0,"y.first"
"450",0,"y.first"
"451",10,"y.first"
"452",0,"y.first"
"453",0,"y.first"
"454",0,"y.first"
"455",0,"y.first"
"456",0,"y.first"
"457",0,"y.first"
"458",0,"y.first"
"459",0,"y.first"
"460",0,"y.first"
"461",10,"y.first"
"462",0,"y.first"
"463",0,"y.first"
"464",0,"y.first"
"465",0,"y.first"
"466",0,"y.first"
"467",0,"y.first"
"468",0,"y.first"
"469",0,"y.first"
"470",0,"y.first"
"471",11,"y.first"
"472",0,"y.first"
"473",0,"y.first"
"474",0,"y.first"
"475",0,"y.first"
"476",0,"y.first"
"477",0,"y.first"
"478",0,"y.first"
"479",0,"y.first"
"480",0,"y.first"
"481",0,"y.first"
"482",0,"y.first"
"483",0,"y.first"
"484",0,"y.first"
"485",0,"y.first"
"486",0,"y.first"
"487",0,"y.first"
"488",0,"y.first"
"489",0,"y.first"
"490",0,"y.first"
"491",0,"y.first"
"492",0,"y.first"
"493",0,"y.first"
"494",0,"y.first"
"495",0,"y.first"
"496",0,"y.first"
"497",0,"y.first"
"498",0,"y.first"
"499",0,"y.first"
"500",0,"y.first"
"501",0,"y.first"
"502",0,"y.first"
"503",0,"y.first"
"504",0,"y.first"
"505",0,"y.first"
"506",0,"y.first"
"507",0,"y.first"
"508",0,"y.first"
"509",0,"y.first"
"510",0,"y.first"
"511",0,"y.first"
"512",0,"y.first"
"513",0,"y.first"
"514",0,"y.first"
"515",0,"y.first"
"516",0,"y.first"
"517",0,"y.first"
"518",0,"y.first"
"519",0,"y.first"
"520",0,"y.first"
"521",4,"y.first"
"522",5,"y.first"
"523",4,"y.first"
"524",5,"y.first"
"525",5,"y.first"
"526",5,"y.first"
"527",5,"y.first"
"528",5,"y.first"
"529",5,"y.first"
"530",5,"y.first"
"531",5,"y.first"
"532",5,"y.first"
"533",5,"y.first"
"534",5,"y.first"
"535",5,"y.first"
"536",6,"y.first"
"537",6,"y.first"
"538",6,"y.first"
"539",6,"y.first"
"540",6,"y.first"
"541",5,"y.first"
"542",6,"y.first"
"543",6,"y.first"
"544",6,"y.first"
"545",6,"y.first"
"546",6,"y.first"
"547",6,"y.first"
"548",6,"y.first"
"549",6,"y.first"
"550",6,"y.first"
"551",5,"y.first"
"552",6,"y.first"
"553",6,"y.first"
"554",6,"y.first"
"555",7,"y.first"
"556",7,"y.first"
"557",7,"y.first"
"558",7,"y.first"
"559",7,"y.first"
"560",7,"y.first"
"561",0,"y.first"
"562",0,"y.first"
"563",0,"y.first"
"564",0,"y.first"
"565",0,"y.first"
"566",0,"y.first"
"567",0,"y.first"
"568",0,"y.first"
"569",0,"y.first"
"570",0,"y.first"
